time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,262.97,262.893,262.694,262.375,261.914,260.648,255.946,239.056,2068.5
11,1120.87,1120.53,1119.66,1118.27,1116.25,1110.71,1090.16,1016.42,8812.88
12,0,0,0,0,0,0,0,0,0
13,726.467,726.205,725.524,724.433,722.854,718.53,702.518,645.653,5692.18
14,1182.42,1181.96,1180.77,1178.86,1176.09,1168.52,1140.52,1041.52,9250.66
15,312.609,312.48,312.144,311.604,310.825,308.692,300.811,273.07,2442.23
16,1641.17,1640.45,1638.59,1635.6,1631.27,1619.44,1575.79,1422.72,12805
17,146.461,146.392,146.213,145.925,145.509,144.371,140.179,125.563,1140.61
18,1607.17,1606.38,1604.32,1601.01,1596.24,1583.18,1535.12,1368.15,12501.6
19,521.64,521.371,520.674,519.556,517.941,513.527,497.292,441.08,4053.08
20,1376.92,1376.16,1374.22,1371.1,1366.59,1354.28,1309.06,1153.23,10681.6
21,405.168,404.934,404.329,403.357,401.954,398.122,384.069,335.895,3137.83
22,568.615,568.278,567.407,566.008,563.99,558.476,538.269,469.164,4400.21
23,514.663,514.339,513.501,512.156,510.215,504.917,485.53,419.63,3974.95
24,555.019,554.657,553.718,552.213,550.041,544.114,522.45,449.093,4281.31
25,321.321,321.103,320.539,319.635,318.329,314.769,301.77,257.933,2475.4
26,281.3,281.102,280.591,279.772,278.59,275.365,263.604,224.094,2164.42
27,457.698,457.364,456.497,455.108,453.104,447.64,427.739,361.2,3516.35
28,320.98,320.736,320.103,319.088,317.625,313.637,299.13,250.864,2462.16
29,193.251,193.099,192.707,192.077,191.169,188.696,179.709,149.919,1480.63
30,207.366,207.198,206.763,206.066,205.061,202.323,192.385,159.579,1586.74
31,366.311,366.004,365.209,363.936,362.099,357.1,338.979,279.42,2799.06
32,265.412,265.182,264.587,263.634,262.259,258.518,244.975,200.659,2025.23
33,336.352,336.051,335.272,334.024,332.225,327.331,309.637,252.003,2562.89
34,282.772,282.512,281.84,280.762,279.21,274.987,259.735,210.246,2152.06
35,172.786,172.623,172.2,171.523,170.546,167.893,158.319,127.387,1313.28
36,127.557,127.433,127.111,126.596,125.854,123.836,116.568,93.1904,968.145
37,57.8524,57.795,57.6465,57.4086,57.0658,56.1345,52.782,42.0295,438.714
38,124.733,124.605,124.273,123.743,122.979,120.903,113.442,89.6441,944.321
39,144.579,144.427,144.034,143.405,142.499,140.038,131.203,103.126,1093.31
40,225.03,224.787,224.16,223.155,221.708,217.78,203.695,159.128,1699.44
41,253.78,253.499,252.773,251.612,249.939,245.4,229.142,177.922,1914.07
