time_ms,edc_db
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.309524
13,-0.309524
14,-0.393764
15,-0.597475
16,-0.890964
17,-1.27942
18,-1.37613
19,-1.65402
20,-2.01979
21,-2.36835
22,-2.57412
23,-2.782
24,-2.98565
25,-3.18539
26,-3.615
27,-3.91293
28,-4.05564
29,-4.18392
30,-4.35932
31,-4.43906
32,-4.73098
33,-4.8187
34,-5.01972
35,-5.29745
36,-5.52472
37,-5.60371
38,-5.77256
39,-5.85123
40,-5.9956
41,-6.21309
42,-6.3966
43,-6.64908
44,-6.80491
45,-6.93026
46,-7.07828
47,-7.34339
48,-7.61576
49,-7.91586
50,-8.21577
51,-8.42984
52,-8.69085
53,-8.8925
54,-9.04345
55,-9.32735
56,-9.40591
57,-9.60815
58,-9.8804
59,-9.97644
60,-10.0868
61,-10.2796
62,-10.3218
63,-10.4888
64,-10.8392
65,-11.0162
66,-11.185
67,-11.4776
68,-11.5949
69,-11.8025
70,-11.9493
71,-12.1437
72,-12.2395
73,-12.3546
74,-12.7022
75,-12.9186
76,-13.0379
77,-13.3142
78,-13.4021
79,-13.6742
80,-13.7955
81,-13.8589
82,-13.9693
83,-14.1421
84,-14.2757
85,-14.6062
86,-14.7907
87,-15.0346
88,-15.0767
89,-15.2571
90,-15.3742
91,-15.711
92,-16.063
93,-16.2241
94,-16.3847
95,-16.4043
96,-16.5987
97,-16.6703
98,-16.9145
99,-17.0194
100,-17.388
101,-17.4918
102,-17.592
103,-17.7423
104,-17.8735
105,-18.2014
106,-18.3215
107,-18.4088
108,-18.5281
109,-18.6419
110,-18.8989
111,-19.0417
112,-19.232
113,-19.3302
114,-19.4657
115,-19.6518
116,-19.7608
117,-19.9907
118,-20.0984
119,-20.3171
120,-20.4016
121,-20.6675
122,-21.0556
123,-21.1569
124,-21.3141
125,-21.4654
126,-21.5915
127,-21.7151
128,-21.8894
129,-22.3339
130,-22.4621
131,-22.6204
132,-23.989
133,-24.0958
134,-24.1933
135,-24.2702
136,-24.4509
137,-24.7048
138,-24.8169
139,-24.8778
140,-24.9376
141,-25.0912
142,-25.1152
143,-25.2419
144,-25.2949
145,-25.4633
146,-25.6473
147,-25.7748
148,-25.8578
149,-26.3718
150,-26.4065
151,-26.6683
152,-26.7182
153,-26.9837
154,-27.016
155,-27.4504
156,-27.4912
157,-27.5809
158,-28.0006
159,-28.1194
160,-28.4772
161,-28.8779
162,-28.9716
163,-29.0455
164,-29.181
165,-29.2831
166,-29.3979
167,-29.6474
168,-29.6816
169,-29.8127
170,-29.8536
171,-30.5269
172,-30.5688
173,-30.6391
174,-30.659
175,-30.7519
176,-30.8047
177,-30.8508
178,-30.9862
179,-31.3908
180,-31.4364
181,-31.7494
182,-31.8718
183,-31.9804
184,-32.2408
185,-32.6421
186,-32.767
187,-33.2513
188,-33.3558
189,-33.5076
190,-33.5854
191,-33.6244
192,-33.6606
193,-33.7038
194,-33.9722
195,-34.0277
196,-34.1178
197,-34.1472
198,-34.1621
199,-34.3189
200,-34.478
201,-34.6556
202,-34.7799
203,-35.5322
204,-35.5435
205,-35.5706
206,-36.0473
207,-36.258
208,-36.9436
209,-37.0277
210,-37.1038
211,-37.165
212,-37.4563
213,-37.5018
214,-37.5608
215,-37.5763
216,-37.6546
217,-37.7317
218,-37.7596
219,-37.78
220,-37.7898
221,-37.9728
222,-38.0413
223,-38.1955
224,-38.2433
225,-38.2546
226,-38.3173
227,-38.3737
228,-38.4287
229,-39.5017
230,-39.5482
231,-39.5598
232,-39.954
233,-40.0556
234,-40.4465
235,-40.526
236,-41.3618
237,-41.4105
238,-42.1305
239,-42.167
240,-42.6793
241,-42.7207
242,-43.0808
243,-43.1164
244,-43.1874
245,-43.2189
246,-43.3073
247,-43.3949
248,-44.0249
249,-44.051
250,-44.0938
251,-44.13
252,-44.9846
253,-45.021
254,-45.0456
255,-45.1311
256,-45.1986
257,-45.361
258,-45.6013
259,-45.644
260,-45.7205
261,-45.8916
262,-45.995
263,-46.0062
264,-46.0085
265,-46.0349
266,-46.0711
267,-46.1471
268,-46.2973
269,-46.3317
270,-46.3563
271,-46.4263
272,-46.479
273,-46.5517
274,-46.6642
