time_ms,edc_db
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.272706
13,-0.272706
14,-0.344403
15,-0.560015
16,-0.722661
17,-1.12624
18,-1.26373
19,-1.52465
20,-1.80234
21,-2.01837
22,-2.19949
23,-2.50713
24,-2.68672
25,-2.98656
26,-3.32191
27,-3.59043
28,-3.76656
29,-3.85914
30,-4.06038
31,-4.21359
32,-4.39276
33,-4.49284
34,-4.72697
35,-4.9724
36,-5.21865
37,-5.30951
38,-5.46711
39,-5.71424
40,-5.98847
41,-6.10065
42,-6.27642
43,-6.39294
44,-6.60345
45,-6.88526
46,-7.06234
47,-7.25648
48,-7.49668
49,-7.70769
50,-8.00692
51,-8.22415
52,-8.35148
53,-8.49745
54,-8.64348
55,-8.98545
56,-9.22312
57,-9.46393
58,-9.69155
59,-9.87391
60,-10.0288
61,-10.2145
62,-10.3922
63,-10.5711
64,-10.7321
65,-10.9019
66,-11.1818
67,-11.3581
68,-11.5282
69,-11.6911
70,-11.8112
71,-12.0362
72,-12.163
73,-12.3719
74,-12.4707
75,-12.5565
76,-12.8246
77,-13.058
78,-13.17
79,-13.2379
80,-13.254
81,-13.357
82,-13.5451
83,-13.7456
84,-14.0163
85,-14.0557
86,-14.1941
87,-14.387
88,-14.5624
89,-14.6529
90,-14.6944
91,-15.0211
92,-15.2003
93,-15.3358
94,-15.4933
95,-15.7612
96,-16.0517
97,-16.1778
98,-16.4617
99,-16.5739
100,-16.7775
101,-16.8518
102,-17.0614
103,-17.1051
104,-17.1516
105,-17.274
106,-17.4079
107,-17.7588
108,-17.8971
109,-17.9707
110,-18.4093
111,-18.9575
112,-19.036
113,-19.1345
114,-19.2922
115,-19.4119
116,-19.6046
117,-20.0215
118,-20.0781
119,-20.2053
120,-20.4929
121,-20.543
122,-20.7434
123,-20.8321
124,-20.8582
125,-20.9467
126,-21.0282
127,-21.0469
128,-21.4596
129,-21.5208
130,-21.5935
131,-21.6519
132,-21.7303
133,-21.842
134,-21.9501
135,-21.9726
136,-22.0888
137,-22.1117
138,-22.1917
139,-22.2788
140,-22.3721
141,-22.5177
142,-22.9885
143,-23.0002
144,-23.1515
145,-23.1797
146,-23.2923
147,-23.3649
148,-23.5369
149,-23.584
150,-23.6132
151,-23.8242
152,-23.889
153,-23.9068
154,-24.2885
155,-24.3321
156,-24.3695
157,-24.4192
158,-24.6242
159,-24.67
160,-24.7873
161,-24.8114
162,-24.8458
163,-24.8797
164,-24.8966
165,-24.9328
166,-25.1549
167,-25.1629
168,-25.2207
169,-25.2599
170,-25.3224
171,-25.3507
172,-25.3909
173,-25.449
174,-25.4655
175,-25.4895
176,-25.5033
177,-26.4479
178,-26.7187
179,-26.7331
180,-26.9018
181,-26.9347
182,-26.9431
183,-26.971
184,-26.9958
185,-27.0844
186,-27.1324
187,-27.1424
188,-27.1481
189,-27.1577
190,-27.1619
191,-27.2018
192,-30.0166
193,-30.1733
194,-30.1904
195,-30.8305
196,-31.1451
197,-31.22
198,-31.2781
199,-31.3051
200,-31.3629
201,-31.5255
202,-31.5568
203,-31.6584
204,-31.6749
205,-31.6792
206,-32.0757
207,-32.1042
208,-32.1388
209,-32.1622
210,-32.1757
211,-32.1846
212,-32.201
213,-32.222
214,-32.2331
215,-32.6599
216,-32.6661
217,-33.2628
218,-34.0382
219,-34.0698
220,-34.3931
221,-34.4565
222,-34.465
223,-34.471
224,-34.4977
225,-34.5588
226,-34.6032
227,-34.6219
228,-34.6779
229,-34.693
230,-34.7267
231,-34.7354
232,-34.7489
233,-34.7659
234,-34.8407
235,-34.8553
236,-40.1381
237,-40.2246
238,-40.8676
239,-40.9089
240,-41.1639
241,-41.2036
242,-41.3763
243,-41.39
244,-41.794
245,-41.8034
246,-41.8203
247,-41.8534
248,-42.1552
249,-42.1734
250,-42.2285
251,-42.2304
252,-42.2629
253,-42.3394
254,-42.4005
255,-42.4124
256,-42.5758
257,-42.6154
258,-42.6945
259,-42.744
260,-43.2725
261,-43.2946
262,-43.4057
263,-43.4306
264,-43.5718
265,-43.5998
266,-43.72
267,-43.729
268,-43.7739
269,-43.7783
270,-43.8281
271,-43.8773
272,-43.902
273,-44.0269
274,-44.0677
