time_ms,edc_db
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.32368
13,-0.32368
14,-0.392577
15,-0.561747
16,-0.78978
17,-1.19577
18,-1.3352
19,-1.58886
20,-1.97424
21,-2.31578
22,-2.59116
23,-2.88156
24,-3.05017
25,-3.27709
26,-3.55945
27,-3.77077
28,-3.99558
29,-4.17463
30,-4.35223
31,-4.48046
32,-4.69305
33,-4.88784
34,-5.08645
35,-5.26825
36,-5.4665
37,-5.6165
38,-5.7133
39,-5.85141
40,-6.02989
41,-6.18888
42,-6.41541
43,-6.5604
44,-6.72664
45,-6.9421
46,-7.09149
47,-7.28088
48,-7.48417
49,-7.6695
50,-7.83187
51,-8.00192
52,-8.37203
53,-8.61334
54,-8.81999
55,-9.01801
56,-9.2341
57,-9.43448
58,-9.64416
59,-9.84813
60,-10.0395
61,-10.145
62,-10.2956
63,-10.4579
64,-10.6631
65,-10.8592
66,-10.989
67,-11.1883
68,-11.3012
69,-11.467
70,-11.5958
71,-11.7952
72,-12.1337
73,-12.2875
74,-12.4571
75,-12.6288
76,-12.7918
77,-13.0473
78,-13.2435
79,-13.454
80,-13.717
81,-13.8833
82,-14.042
83,-14.2329
84,-14.3928
85,-14.6233
86,-14.8091
87,-15.0137
88,-15.1886
89,-15.3465
90,-15.5011
91,-15.6782
92,-15.8819
93,-16.0491
94,-16.1949
95,-16.3739
96,-16.538
97,-16.6539
98,-16.7952
99,-17.0259
100,-17.1632
101,-17.2787
102,-17.3897
103,-17.6368
104,-17.8628
105,-18.0317
106,-18.1788
107,-18.4281
108,-18.5451
109,-18.7389
110,-19.0107
111,-19.1478
112,-19.3121
113,-19.5392
114,-19.7128
115,-19.9557
116,-20.1706
117,-20.3945
118,-20.5627
119,-20.6532
120,-20.9069
121,-21.1105
122,-21.2816
123,-21.4501
124,-21.5462
125,-21.698
126,-21.8653
127,-22.0057
128,-22.1889
129,-22.5017
130,-22.6897
131,-22.9293
132,-23.1116
133,-23.2399
134,-23.4621
135,-23.6351
136,-23.8204
137,-23.9563
138,-24.0672
139,-24.244
140,-24.4466
141,-24.5711
142,-24.6628
143,-24.7608
144,-24.8556
145,-25.0542
146,-25.3579
147,-25.4724
148,-25.6479
149,-25.954
150,-26.0635
151,-26.2395
152,-26.3768
153,-26.4635
154,-26.6739
155,-26.7344
156,-27.0112
157,-27.2306
158,-27.3711
159,-27.5145
160,-27.5805
161,-27.8478
162,-28.0209
163,-28.1906
164,-28.3081
165,-28.3909
166,-28.7146
167,-28.8684
168,-29.0002
169,-29.133
170,-29.2435
171,-29.4003
172,-29.6494
173,-29.757
174,-29.8776
175,-30.4185
176,-30.6315
177,-30.7209
178,-30.9179
179,-31.0926
180,-31.2389
181,-31.4152
182,-31.6213
183,-31.7256
184,-31.9014
185,-32.1484
186,-32.2709
187,-32.386
188,-32.6141
189,-32.8398
190,-32.9456
191,-33.0842
192,-33.2997
193,-33.5165
194,-33.6219
195,-33.7042
196,-33.9322
197,-34.2003
198,-34.5294
199,-34.6787
200,-34.7521
201,-34.8427
202,-34.9429
203,-35.0294
204,-35.5024
205,-35.5597
206,-35.6789
207,-35.7943
208,-36.0029
209,-36.1657
210,-36.3722
211,-36.5206
212,-36.6451
213,-36.9465
214,-37.113
215,-37.3019
216,-37.9799
217,-38.1126
218,-38.2088
219,-38.6075
220,-38.971
221,-39.3887
222,-39.4535
223,-39.527
224,-39.6943
225,-39.8376
226,-40.2221
227,-40.3839
228,-40.5197
229,-40.5942
230,-41.35
231,-41.4837
232,-41.5691
233,-41.6159
234,-41.6907
235,-41.7555
236,-41.8436
237,-41.9732
238,-42.1264
239,-42.4336
240,-42.7321
241,-42.8016
242,-42.8798
243,-42.9885
244,-43.1129
245,-43.5189
246,-43.5851
247,-43.8367
248,-43.8728
249,-43.9386
250,-44.1995
251,-44.3883
252,-44.4883
253,-44.5408
254,-44.7019
255,-44.7791
256,-44.81
257,-44.8642
258,-44.9661
259,-45.1157
260,-45.167
261,-45.2172
262,-45.2469
263,-45.3819
264,-45.4419
265,-45.5092
266,-45.5912
267,-46.1822
268,-46.2723
269,-46.4061
270,-46.5153
271,-46.6731
272,-46.6974
273,-46.7614
