time_ms,edc_db
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.286301
13,-0.286301
14,-0.367324
15,-0.523337
16,-0.765369
17,-1.15013
18,-1.2969
19,-1.55678
20,-1.91599
21,-2.23354
22,-2.49651
23,-2.80149
24,-2.97898
25,-3.18862
26,-3.43942
27,-3.65794
28,-3.87256
29,-4.02951
30,-4.22552
31,-4.38672
32,-4.612
33,-4.80604
34,-4.98333
35,-5.18118
36,-5.36899
37,-5.52084
38,-5.65676
39,-5.7804
40,-5.9349
41,-6.09603
42,-6.30828
43,-6.50019
44,-6.7049
45,-6.91346
46,-7.08588
47,-7.29097
48,-7.49014
49,-7.67173
50,-7.88296
51,-8.06905
52,-8.31632
53,-8.54296
54,-8.75559
55,-8.96339
56,-9.15851
57,-9.33318
58,-9.51614
59,-9.69784
60,-9.89159
61,-10.0677
62,-10.2476
63,-10.4058
64,-10.5826
65,-10.7749
66,-10.9392
67,-11.1102
68,-11.2742
69,-11.4281
70,-11.5731
71,-11.7559
72,-11.9929
73,-12.1583
74,-12.3624
75,-12.5627
76,-12.7301
77,-12.9108
78,-13.0812
79,-13.2632
80,-13.4847
81,-13.6712
82,-13.8756
83,-14.0786
84,-14.267
85,-14.4534
86,-14.6307
87,-14.8153
88,-15.018
89,-15.1928
90,-15.3723
91,-15.5614
92,-15.7596
93,-15.9494
94,-16.1221
95,-16.2984
96,-16.4765
97,-16.621
98,-16.7754
99,-16.9634
100,-17.14
101,-17.3073
102,-17.4893
103,-17.6628
104,-17.8732
105,-18.0461
106,-18.2563
107,-18.4454
108,-18.614
109,-18.8008
110,-18.9736
111,-19.1491
112,-19.3458
113,-19.5224
114,-19.6838
115,-19.8442
116,-20.0305
117,-20.2054
118,-20.3928
119,-20.5817
120,-20.7535
121,-20.9242
122,-21.0821
123,-21.2545
124,-21.4425
125,-21.5999
126,-21.7723
127,-21.9194
128,-22.0791
129,-22.2377
130,-22.3872
131,-22.5362
132,-22.7238
133,-22.8776
134,-23.0731
135,-23.2723
136,-23.4541
137,-23.6754
138,-23.8474
139,-24.0042
140,-24.2481
141,-24.4365
142,-24.6253
143,-24.8018
144,-24.9833
145,-25.1331
146,-25.3201
147,-25.5052
148,-25.6856
149,-25.8548
150,-26.049
151,-26.2072
152,-26.3772
153,-26.5387
154,-26.7246
155,-26.8677
156,-27.0424
157,-27.1911
158,-27.3644
159,-27.554
160,-27.7307
161,-27.8948
162,-28.13
163,-28.2552
164,-28.3995
165,-28.5617
166,-28.706
167,-28.8696
168,-29.0234
169,-29.1927
170,-29.3804
171,-29.5476
172,-29.7269
173,-29.9245
174,-30.1044
175,-30.2987
176,-30.4758
177,-30.6433
178,-30.8351
179,-31.0062
180,-31.1698
181,-31.3047
182,-31.4564
183,-31.638
184,-31.8117
185,-31.9777
186,-32.0913
187,-32.2322
188,-32.4116
189,-32.5765
190,-32.705
191,-32.8158
192,-33.0148
193,-33.2061
194,-33.4347
195,-33.584
196,-33.7272
197,-33.8988
198,-34.0647
199,-34.2277
200,-34.4973
201,-34.7857
202,-35.0053
203,-35.1419
204,-35.3153
205,-35.5325
206,-35.6719
207,-35.8179
208,-35.9365
209,-36.1551
210,-36.2797
211,-36.4786
212,-36.6511
213,-36.7669
214,-36.898
215,-37.0202
216,-37.145
217,-37.2931
218,-37.4395
219,-37.5655
220,-37.7716
221,-37.8788
222,-38.0361
223,-38.1829
224,-38.3639
225,-38.4815
226,-38.752
227,-39.0973
228,-39.2588
229,-39.4212
230,-39.5634
231,-39.6896
232,-39.8741
233,-40.1333
234,-40.2711
235,-40.4261
236,-40.7142
237,-40.8346
238,-40.9605
239,-41.0788
240,-41.3715
241,-41.5321
242,-41.6845
243,-41.8851
244,-42.078
245,-42.2292
246,-42.3599
247,-42.4788
248,-42.6486
249,-42.7775
250,-42.9622
251,-43.1492
252,-43.3514
253,-43.5462
254,-43.8582
255,-44.0107
256,-44.0956
257,-44.2144
258,-44.3233
259,-44.4866
260,-44.6366
261,-44.8065
262,-44.8972
263,-45.0147
264,-45.2284
265,-45.3873
266,-45.5293
267,-45.7047
268,-45.8174
269,-46.0067
270,-46.1038
271,-46.2443
272,-46.3498
273,-46.5227
