time_ms,edc_db
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.294868
13,-0.294868
14,-0.378583
15,-0.529333
16,-0.764813
17,-1.14936
18,-1.30045
19,-1.56439
20,-1.92473
21,-2.23762
22,-2.48065
23,-2.7832
24,-2.95479
25,-3.16211
26,-3.42392
27,-3.65803
28,-3.86083
29,-4.02004
30,-4.21356
31,-4.3691
32,-4.57872
33,-4.78337
34,-4.95977
35,-5.16226
36,-5.3538
37,-5.49969
38,-5.63855
39,-5.76034
40,-5.924
41,-6.08587
42,-6.27384
43,-6.47037
44,-6.67197
45,-6.88164
46,-7.04896
47,-7.26057
48,-7.4471
49,-7.61545
50,-7.83111
51,-8.0239
52,-8.27144
53,-8.4879
54,-8.69648
55,-8.90544
56,-9.11443
57,-9.29032
58,-9.48898
59,-9.68477
60,-9.88417
61,-10.0611
62,-10.2309
63,-10.4006
64,-10.5917
65,-10.7806
66,-10.9631
67,-11.1334
68,-11.2876
69,-11.4422
70,-11.5984
71,-11.7676
72,-11.9963
73,-12.1643
74,-12.3494
75,-12.5389
76,-12.7131
77,-12.9038
78,-13.0869
79,-13.2846
80,-13.5078
81,-13.6991
82,-13.9101
83,-14.0964
84,-14.2852
85,-14.4747
86,-14.658
87,-14.8322
88,-15.0119
89,-15.1828
90,-15.3521
91,-15.5535
92,-15.7501
93,-15.917
94,-16.0979
95,-16.2685
96,-16.433
97,-16.584
98,-16.7448
99,-16.9319
100,-17.1009
101,-17.2572
102,-17.4505
103,-17.6204
104,-17.7986
105,-17.9702
106,-18.1502
107,-18.3403
108,-18.5183
109,-18.691
110,-18.8642
111,-19.0891
112,-19.2765
113,-19.4614
114,-19.6538
115,-19.8375
116,-20.0238
117,-20.2041
118,-20.3803
119,-20.5678
120,-20.7494
121,-20.9325
122,-21.1077
123,-21.2876
124,-21.457
125,-21.6226
126,-21.7798
127,-21.9531
128,-22.1169
129,-22.2806
130,-22.4535
131,-22.6177
132,-22.832
133,-22.9985
134,-23.1728
135,-23.3611
136,-23.5457
137,-23.7362
138,-23.9183
139,-24.0927
140,-24.2575
141,-24.4346
142,-24.6071
143,-24.7861
144,-24.9745
145,-25.1429
146,-25.3203
147,-25.5262
148,-25.6777
149,-25.8448
150,-25.9931
151,-26.1704
152,-26.333
153,-26.513
154,-26.6769
155,-26.8575
156,-26.9999
157,-27.1582
158,-27.3319
159,-27.4733
160,-27.6189
161,-27.7688
162,-27.9597
163,-28.1232
164,-28.3067
165,-28.4868
166,-28.653
167,-28.8506
168,-29.0209
169,-29.205
170,-29.3738
171,-29.5695
172,-29.7358
173,-29.9039
174,-30.0812
175,-30.2721
176,-30.4456
177,-30.621
178,-30.7913
179,-30.9516
180,-31.1116
181,-31.2818
182,-31.4495
183,-31.6181
184,-31.7533
185,-31.9018
186,-32.0704
187,-32.2057
188,-32.3505
189,-32.5633
190,-32.7016
191,-32.837
192,-33.026
193,-33.1769
194,-33.4711
195,-33.6733
196,-33.8138
197,-34.0167
198,-34.1939
199,-34.3918
200,-34.6127
201,-34.7964
202,-34.977
203,-35.1717
204,-35.3484
205,-35.5118
206,-35.6871
207,-35.828
208,-35.9933
209,-36.1606
210,-36.334
211,-36.4896
212,-36.6683
213,-36.7995
214,-36.9777
215,-37.1995
216,-37.3424
217,-37.539
218,-37.695
219,-37.8307
220,-37.9834
221,-38.1046
222,-38.2479
223,-38.3999
224,-38.5734
225,-38.7489
226,-38.8988
227,-39.0794
228,-39.2481
229,-39.5198
230,-39.7026
231,-39.9312
232,-40.0644
233,-40.2662
234,-40.3899
235,-40.6053
236,-40.7404
237,-40.9122
238,-41.0445
239,-41.2036
240,-41.3409
241,-41.5021
242,-41.661
243,-41.8012
244,-41.9617
245,-42.0766
246,-42.1871
247,-42.3642
248,-42.5263
249,-42.6467
250,-42.743
251,-42.9875
252,-43.2116
253,-43.3154
254,-43.7209
255,-43.939
256,-44.1237
257,-44.2581
258,-44.4324
259,-44.632
260,-44.7982
261,-45.0607
262,-45.2175
263,-45.3508
264,-45.5077
265,-45.637
266,-45.8173
267,-46.0232
268,-46.173
269,-46.2932
270,-46.4217
271,-46.6053
272,-46.7119
273,-46.8707
274,-47.0547
