time_ms,edc_db
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.304452
13,-0.304452
14,-0.412339
15,-0.576833
16,-0.837502
17,-1.30627
18,-1.40684
19,-1.69284
20,-2.11422
21,-2.49402
22,-2.71782
23,-3.08493
24,-3.16313
25,-3.38882
26,-3.70459
27,-3.93684
28,-4.13812
29,-4.25816
30,-4.48537
31,-4.61534
32,-4.9004
33,-5.09871
34,-5.24651
35,-5.45363
36,-5.62728
37,-5.71921
38,-5.81433
39,-5.88383
40,-6.06493
41,-6.26686
42,-6.52556
43,-6.72823
44,-6.94401
45,-7.16178
46,-7.32454
47,-7.53975
48,-7.69695
49,-7.82395
50,-8.14216
51,-8.33597
52,-8.67318
53,-8.93765
54,-9.14273
55,-9.35146
56,-9.5293
57,-9.63526
58,-9.83679
59,-10.0214
60,-10.2372
61,-10.3538
62,-10.4677
63,-10.5517
64,-10.7802
65,-11.0238
66,-11.1644
67,-11.2806
68,-11.3959
69,-11.4867
70,-11.5733
71,-11.7101
72,-12.0045
73,-12.1152
74,-12.3113
75,-12.485
76,-12.5929
77,-12.7788
78,-12.9344
79,-13.1338
80,-13.4081
81,-13.5463
82,-13.7611
83,-13.8869
84,-14.0847
85,-14.2365
86,-14.3259
87,-14.4357
88,-14.5699
89,-14.6906
90,-14.7944
91,-15.0216
92,-15.2386
93,-15.3025
94,-15.4111
95,-15.4787
96,-15.5699
97,-15.6218
98,-15.7032
99,-15.8645
100,-16.0058
101,-16.0617
102,-16.319
103,-16.4498
104,-16.7739
105,-16.8621
106,-17.057
107,-17.1703
108,-17.2837
109,-17.4574
110,-17.507
111,-17.7829
112,-17.899
113,-18.0576
114,-18.1366
115,-18.2655
116,-18.3092
117,-18.3871
118,-18.621
119,-18.7454
120,-18.8927
121,-18.9785
122,-19.0145
123,-19.0989
124,-19.2345
125,-19.2967
126,-19.3968
127,-19.4636
128,-19.5103
129,-19.5299
130,-19.6246
131,-19.8478
132,-20.0271
133,-20.0991
134,-20.201
135,-20.2933
136,-20.3806
137,-20.5412
138,-20.8462
139,-21.0429
140,-21.1189
141,-21.2553
142,-21.3524
143,-21.4526
144,-21.5358
145,-21.6224
146,-21.6743
147,-21.6866
148,-21.7695
149,-21.8739
150,-22.0029
151,-22.3407
152,-22.4152
153,-22.482
154,-22.522
155,-22.5806
156,-22.6847
157,-22.7879
158,-22.9092
159,-22.9852
160,-23.0497
161,-23.0942
162,-23.2847
163,-23.3823
164,-23.7471
165,-23.7926
166,-23.9008
167,-24.0371
168,-24.1396
169,-24.2812
170,-24.3784
171,-24.6347
172,-24.7515
173,-24.8432
174,-24.8961
175,-24.9658
176,-25.1493
177,-25.2471
178,-25.4096
179,-25.4637
180,-25.5369
181,-25.5943
182,-25.653
183,-25.7626
184,-25.8254
185,-25.9225
186,-25.982
187,-26.1203
188,-26.1652
189,-26.2512
190,-26.2741
191,-26.4807
192,-26.6011
193,-26.6765
194,-26.9345
195,-27.056
196,-27.1236
197,-27.1788
198,-27.3652
199,-27.4239
200,-27.5618
201,-27.64
202,-27.7454
203,-27.9098
204,-27.9742
205,-28.065
206,-28.1233
207,-28.1605
208,-28.1732
209,-28.2894
210,-28.3256
211,-28.5591
212,-28.6363
213,-28.6464
214,-28.7066
215,-28.7982
216,-28.8621
217,-28.9576
218,-29.0247
219,-29.0895
220,-29.1076
221,-29.1629
222,-29.2741
223,-29.374
224,-29.587
225,-29.6679
226,-29.7572
227,-29.8809
228,-29.956
229,-30.0102
230,-30.0776
231,-30.2603
232,-30.344
233,-30.4154
234,-30.5295
235,-30.6129
236,-30.7054
237,-30.7904
238,-30.9319
239,-30.9625
240,-31.0303
241,-31.0542
242,-31.1334
243,-31.3014
244,-31.3476
245,-31.3834
246,-31.5078
247,-31.5797
248,-31.6325
249,-31.6907
250,-31.7315
251,-31.845
252,-31.938
253,-32.0421
254,-32.2931
255,-32.3753
256,-32.3983
257,-32.4582
258,-32.5941
259,-32.6836
260,-32.8097
261,-32.9117
262,-33.0128
263,-33.1091
264,-33.1739
265,-33.2141
266,-33.2692
267,-33.3374
268,-33.4761
269,-33.502
270,-33.6297
271,-33.7051
272,-33.7876
273,-33.8462
