time_ms,edc_db
0,0
1,0
2,0
3,0
4,-0.905986
5,-1.4217
6,-1.88587
7,-1.94783
8,-1.97754
9,-1.98964
10,-1.99702
11,-2.07708
12,-2.47037
13,-2.79825
14,-3.01707
15,-3.134
16,-3.24903
17,-3.46403
18,-3.75816
19,-3.92181
20,-4.04182
21,-4.30195
22,-4.52771
23,-4.64935
24,-4.82338
25,-5.04479
26,-5.17579
27,-5.33806
28,-5.53865
29,-5.67024
30,-5.83301
31,-5.96531
32,-6.08907
33,-6.24788
34,-6.38152
35,-6.53336
36,-6.68093
37,-6.83519
38,-7.01457
39,-7.16973
40,-7.33075
41,-7.50128
42,-7.67272
43,-7.80714
44,-7.94941
45,-8.11591
46,-8.27776
47,-8.42675
48,-8.59385
49,-8.7774
50,-8.951
51,-9.10851
52,-9.24971
53,-9.40784
54,-9.58292
55,-9.72392
56,-9.85774
57,-10.0283
58,-10.1757
59,-10.3554
60,-10.5148
61,-10.6795
62,-10.815
63,-10.9729
64,-11.136
65,-11.2685
66,-11.4269
67,-11.5536
68,-11.6874
69,-11.8353
70,-11.9753
71,-12.1325
72,-12.2934
73,-12.4284
74,-12.5765
75,-12.7135
76,-12.85
77,-12.9984
78,-13.1447
79,-13.3078
80,-13.4359
81,-13.5783
82,-13.7338
83,-13.874
84,-14.0183
85,-14.1649
86,-14.3092
87,-14.4498
88,-14.6161
89,-14.7473
90,-14.8944
91,-15.0426
92,-15.1756
93,-15.3315
94,-15.4827
95,-15.6197
96,-15.7654
97,-15.8961
98,-16.0309
99,-16.1666
100,-16.3127
101,-16.4495
102,-16.5726
103,-16.7096
104,-16.8597
105,-17.0068
106,-17.1494
107,-17.274
108,-17.4157
109,-17.5554
110,-17.6933
111,-17.84
112,-17.986
113,-18.1593
114,-18.2614
115,-18.4084
116,-18.5289
117,-18.6891
118,-18.8103
119,-18.9341
120,-19.072
121,-19.1996
122,-19.3543
123,-19.488
124,-19.6008
125,-19.7492
126,-19.8747
127,-20.0189
128,-20.1662
129,-20.3133
130,-20.4578
131,-20.6082
132,-20.7504
133,-20.8709
134,-21.0172
135,-21.1452
136,-21.2746
137,-21.3897
138,-21.5234
139,-21.6441
140,-21.7879
141,-21.9286
142,-22.0433
143,-22.1685
144,-22.3003
145,-22.4373
146,-22.5608
147,-22.6972
148,-22.8414
149,-22.969
150,-23.1168
151,-23.2949
152,-23.405
153,-23.5441
154,-23.6731
155,-23.8021
156,-23.9488
157,-24.098
158,-24.2392
159,-24.3984
160,-24.5305
161,-24.6756
162,-24.7966
163,-24.9348
164,-25.0509
165,-25.1843
166,-25.3422
167,-25.4597
168,-25.5986
169,-25.7236
170,-25.8525
171,-25.982
172,-26.1257
173,-26.267
174,-26.3831
175,-26.5116
176,-26.6406
177,-26.7562
178,-26.8578
179,-26.9999
180,-27.1315
181,-27.2588
182,-27.3794
183,-27.5162
184,-27.6187
185,-27.7568
186,-27.8821
187,-28.0201
188,-28.1487
189,-28.284
190,-28.4173
191,-28.5452
192,-28.6943
193,-28.8328
194,-28.9338
195,-29.0882
196,-29.2076
197,-29.3163
198,-29.4494
199,-29.5751
200,-29.7654
201,-29.8897
202,-30.0302
203,-30.1494
204,-30.288
205,-30.4181
206,-30.5521
207,-30.6961
208,-30.8183
209,-30.9375
210,-31.0711
211,-31.2286
212,-31.358
213,-31.494
214,-31.6092
215,-31.7688
216,-31.9007
217,-32.0358
218,-32.1758
219,-32.3005
220,-32.4511
221,-32.5741
222,-32.6952
223,-32.826
224,-33.0191
225,-33.1698
226,-33.3297
227,-33.4454
228,-33.5822
229,-33.7354
230,-33.8933
231,-34.0192
232,-34.1354
233,-34.2462
234,-34.3601
235,-34.4884
236,-34.5981
237,-34.7183
238,-34.8466
239,-34.9792
240,-35.1109
241,-35.2195
242,-35.3492
243,-35.4758
244,-35.5914
245,-35.7297
246,-35.8805
247,-36.0101
248,-36.1844
249,-36.3378
250,-36.4507
251,-36.5467
252,-36.6782
253,-36.8038
254,-36.936
255,-37.0466
256,-37.1561
257,-37.306
258,-37.3959
259,-37.5032
260,-37.6002
261,-37.7522
262,-37.9008
263,-38.0045
264,-38.1339
265,-38.2635
266,-38.3794
267,-38.5158
268,-38.6297
269,-38.7757
