time_ms,edc_db
0,0
1,0
2,0
3,0
4,-0.945422
5,-1.46306
6,-1.911
7,-1.9763
8,-2.00566
9,-2.02183
10,-2.03032
11,-2.1233
12,-2.51271
13,-2.86403
14,-3.1079
15,-3.22071
16,-3.35041
17,-3.56224
18,-3.86523
19,-4.01388
20,-4.13078
21,-4.39218
22,-4.61784
23,-4.74185
24,-4.90538
25,-5.13222
26,-5.25433
27,-5.40549
28,-5.58944
29,-5.71456
30,-5.85052
31,-6.00508
32,-6.12709
33,-6.28425
34,-6.39871
35,-6.54323
36,-6.68594
37,-6.84759
38,-7.02084
39,-7.16213
40,-7.3299
41,-7.50222
42,-7.6641
43,-7.81108
44,-7.97449
45,-8.11182
46,-8.27826
47,-8.41905
48,-8.58969
49,-8.72511
50,-8.88174
51,-9.02607
52,-9.1748
53,-9.31698
54,-9.46615
55,-9.62971
56,-9.78058
57,-9.93878
58,-10.1011
59,-10.2507
60,-10.4082
61,-10.5686
62,-10.7405
63,-10.8764
64,-11.013
65,-11.1543
66,-11.307
67,-11.4469
68,-11.5981
69,-11.731
70,-11.8753
71,-12.0441
72,-12.1957
73,-12.3341
74,-12.4746
75,-12.6216
76,-12.7527
77,-12.9191
78,-13.0473
79,-13.2039
80,-13.3561
81,-13.5079
82,-13.6439
83,-13.7569
84,-13.9001
85,-14.0494
86,-14.1934
87,-14.3299
88,-14.4773
89,-14.6125
90,-14.7644
91,-14.9135
92,-15.06
93,-15.2002
94,-15.334
95,-15.484
96,-15.6335
97,-15.7697
98,-15.9039
99,-16.0309
100,-16.1655
101,-16.2881
102,-16.4232
103,-16.5597
104,-16.7107
105,-16.8432
106,-16.9921
107,-17.1439
108,-17.2867
109,-17.4284
110,-17.5937
111,-17.7288
112,-17.8593
113,-17.9871
114,-18.1117
115,-18.2565
116,-18.3988
117,-18.531
118,-18.6655
119,-18.8248
120,-18.9614
121,-19.1058
122,-19.2264
123,-19.3601
124,-19.4856
125,-19.6043
126,-19.7453
127,-19.87
128,-19.9931
129,-20.1101
130,-20.2589
131,-20.4019
132,-20.5503
133,-20.6944
134,-20.8249
135,-20.9677
136,-21.107
137,-21.2488
138,-21.3846
139,-21.532
140,-21.6978
141,-21.8514
142,-21.9677
143,-22.0956
144,-22.229
145,-22.3686
146,-22.5024
147,-22.6336
148,-22.7883
149,-22.9076
150,-23.0556
151,-23.1665
152,-23.2958
153,-23.436
154,-23.5719
155,-23.7416
156,-23.8741
157,-24.0079
158,-24.1333
159,-24.2673
160,-24.4223
161,-24.5608
162,-24.7053
163,-24.8207
164,-24.955
165,-25.0889
166,-25.2388
167,-25.3698
168,-25.5042
169,-25.6433
170,-25.7665
171,-25.901
172,-26.0494
173,-26.1547
174,-26.2752
175,-26.4258
176,-26.5502
177,-26.705
178,-26.8543
179,-26.973
180,-27.1142
181,-27.2511
182,-27.371
183,-27.4992
184,-27.6401
185,-27.7701
186,-27.891
187,-28.0187
188,-28.1423
189,-28.2585
190,-28.3854
191,-28.5104
192,-28.6254
193,-28.7578
194,-28.8881
195,-29.0038
196,-29.1548
197,-29.3204
198,-29.4401
199,-29.5637
200,-29.7034
201,-29.8179
202,-29.9639
203,-30.0717
204,-30.1831
205,-30.3273
206,-30.4904
207,-30.6445
208,-30.7763
209,-30.9099
210,-31.0154
211,-31.1585
212,-31.2662
213,-31.3791
214,-31.5112
215,-31.6381
216,-31.7798
217,-31.8882
218,-32.0292
219,-32.1534
220,-32.2633
221,-32.3783
222,-32.4933
223,-32.6168
224,-32.7261
225,-32.8714
226,-33.002
227,-33.1089
228,-33.2127
229,-33.3407
230,-33.4593
231,-33.5971
232,-33.7311
233,-33.8302
234,-33.9839
235,-34.1538
236,-34.3173
237,-34.4521
238,-34.5873
239,-34.7395
240,-34.8706
241,-35.008
242,-35.1288
243,-35.2707
244,-35.3929
245,-35.5211
246,-35.6195
247,-35.7617
248,-35.8755
249,-36.0109
250,-36.1257
251,-36.2552
252,-36.4168
253,-36.5642
254,-36.6882
255,-36.8254
256,-36.9334
257,-37.0813
258,-37.2197
259,-37.3593
260,-37.5065
261,-37.6167
262,-37.7234
263,-37.8948
264,-38.03
265,-38.1519
266,-38.2824
267,-38.4071
268,-38.5167
269,-38.6342
