time_ms,edc_db
0,0
1,0
2,0
3,0
4,-0.942322
5,-1.44919
6,-1.89114
7,-1.95556
8,-1.98524
9,-2.0005
10,-2.00894
11,-2.10058
12,-2.50431
13,-2.84324
14,-3.09117
15,-3.19641
16,-3.31106
17,-3.51437
18,-3.80626
19,-3.96007
20,-4.08413
21,-4.33301
22,-4.54703
23,-4.67801
24,-4.84799
25,-5.05495
26,-5.19359
27,-5.34489
28,-5.54059
29,-5.66556
30,-5.81615
31,-5.97374
32,-6.09449
33,-6.25704
34,-6.38635
35,-6.54357
36,-6.68633
37,-6.8618
38,-7.03998
39,-7.20071
40,-7.36683
41,-7.53255
42,-7.68941
43,-7.83567
44,-7.98786
45,-8.13588
46,-8.29035
47,-8.44381
48,-8.60508
49,-8.76241
50,-8.9186
51,-9.06699
52,-9.21305
53,-9.35852
54,-9.51319
55,-9.6655
56,-9.81705
57,-9.97185
58,-10.1251
59,-10.2829
60,-10.441
61,-10.5936
62,-10.7411
63,-10.889
64,-11.0344
65,-11.179
66,-11.3263
67,-11.47
68,-11.6109
69,-11.7567
70,-11.9051
71,-12.0542
72,-12.2011
73,-12.3431
74,-12.4851
75,-12.6275
76,-12.7687
77,-12.912
78,-13.0584
79,-13.2046
80,-13.3478
81,-13.4902
82,-13.6332
83,-13.7756
84,-13.9171
85,-14.0566
86,-14.2
87,-14.3444
88,-14.4862
89,-14.6268
90,-14.7681
91,-14.9104
92,-15.0513
93,-15.1915
94,-15.332
95,-15.4749
96,-15.6201
97,-15.763
98,-15.9048
99,-16.0459
100,-16.1866
101,-16.3277
102,-16.4661
103,-16.6065
104,-16.7453
105,-16.884
106,-17.0217
107,-17.1599
108,-17.2981
109,-17.4356
110,-17.5758
111,-17.7162
112,-17.8557
113,-17.9932
114,-18.1312
115,-18.2706
116,-18.4075
117,-18.546
118,-18.6854
119,-18.8248
120,-18.9609
121,-19.0974
122,-19.2343
123,-19.3721
124,-19.5094
125,-19.6474
126,-19.7842
127,-19.9221
128,-20.0601
129,-20.1971
130,-20.3332
131,-20.4702
132,-20.6075
133,-20.7445
134,-20.8807
135,-21.0179
136,-21.1539
137,-21.2906
138,-21.4274
139,-21.5645
140,-21.7007
141,-21.837
142,-21.9739
143,-22.1094
144,-22.2451
145,-22.3811
146,-22.5168
147,-22.6518
148,-22.7858
149,-22.9217
150,-23.0556
151,-23.1906
152,-23.3254
153,-23.4597
154,-23.594
155,-23.7298
156,-23.8648
157,-23.9989
158,-24.1323
159,-24.2685
160,-24.4017
161,-24.5352
162,-24.6696
163,-24.8021
164,-24.9364
165,-25.0713
166,-25.205
167,-25.339
168,-25.474
169,-25.608
170,-25.7413
171,-25.8764
172,-26.0096
173,-26.1411
174,-26.274
175,-26.4082
176,-26.5433
177,-26.6755
178,-26.8079
179,-26.9412
180,-27.0741
181,-27.208
182,-27.3428
183,-27.4776
184,-27.6109
185,-27.7444
186,-27.8782
187,-28.0109
188,-28.1443
189,-28.2771
190,-28.4096
191,-28.5425
192,-28.6763
193,-28.8099
194,-28.9423
195,-29.0736
196,-29.2041
197,-29.3364
198,-29.4666
199,-29.5985
200,-29.7327
201,-29.8659
202,-29.999
203,-30.1308
204,-30.2655
205,-30.3983
206,-30.531
207,-30.6637
208,-30.795
209,-30.929
210,-31.0606
211,-31.194
212,-31.3262
213,-31.4564
214,-31.5888
215,-31.7216
216,-31.8541
217,-31.9847
218,-32.1173
219,-32.2493
220,-32.3818
221,-32.5134
222,-32.6424
223,-32.7732
224,-32.9048
225,-33.0364
226,-33.1667
227,-33.3007
228,-33.4318
229,-33.5639
230,-33.6949
231,-33.8267
232,-33.957
233,-34.0887
234,-34.2192
235,-34.3505
236,-34.4825
237,-34.6124
238,-34.7414
239,-34.8743
240,-35.0039
241,-35.1367
242,-35.2649
243,-35.3962
244,-35.5274
245,-35.6565
246,-35.7886
247,-35.9222
248,-36.0538
249,-36.1834
250,-36.3141
251,-36.4435
252,-36.5732
253,-36.7034
254,-36.8344
255,-36.9636
256,-37.0959
257,-37.2275
258,-37.3588
259,-37.4889
260,-37.6188
261,-37.7481
262,-37.8782
263,-38.0087
264,-38.139
265,-38.269
266,-38.3992
267,-38.5277
268,-38.6589
269,-38.7874
270,-38.9201
