time_ms,edc_db
0,0
1,0
2,0
3,0
4,-0.987685
5,-1.58505
6,-2.10281
7,-2.10529
8,-2.10529
9,-2.10529
10,-2.10529
11,-2.23053
12,-2.80559
13,-3.22492
14,-3.43366
15,-3.44506
16,-3.53286
17,-3.82218
18,-4.2311
19,-4.29221
20,-4.35423
21,-4.75805
22,-4.97688
23,-5.00196
24,-5.22465
25,-5.46944
26,-5.51419
27,-5.64573
28,-5.87382
29,-5.92254
30,-6.09557
31,-6.25784
32,-6.33837
33,-6.57289
34,-6.6756
35,-6.89264
36,-7.01274
37,-7.26767
38,-7.47847
39,-7.65751
40,-7.85297
41,-8.06282
42,-8.20782
43,-8.32274
44,-8.46811
45,-8.59073
46,-8.76062
47,-8.92701
48,-9.13931
49,-9.3648
50,-9.55045
51,-9.69511
52,-9.83881
53,-9.98292
54,-10.1962
55,-10.3394
56,-10.5054
57,-10.6944
58,-10.8649
59,-11.0912
60,-11.3055
61,-11.4851
62,-11.5922
63,-11.7466
64,-11.8633
65,-11.9987
66,-12.1734
67,-12.3264
68,-12.4515
69,-12.6101
70,-12.7776
71,-12.9628
72,-13.1127
73,-13.222
74,-13.3528
75,-13.5231
76,-13.6395
77,-13.7597
78,-13.9594
79,-14.1569
80,-14.2912
81,-14.4082
82,-14.5709
83,-14.7321
84,-14.9007
85,-15.0235
86,-15.1835
87,-15.3567
88,-15.5131
89,-15.65
90,-15.8051
91,-15.9909
92,-16.1257
93,-16.2456
94,-16.3912
95,-16.5697
96,-16.7117
97,-16.8999
98,-17.0889
99,-17.2328
100,-17.3689
101,-17.5445
102,-17.6719
103,-17.8018
104,-17.9492
105,-18.0975
106,-18.2375
107,-18.3825
108,-18.5235
109,-18.6404
110,-18.8315
111,-19.0112
112,-19.125
113,-19.2408
114,-19.3702
115,-19.5058
116,-19.6722
117,-19.8165
118,-19.9843
119,-20.1878
120,-20.3289
121,-20.4538
122,-20.6124
123,-20.7741
124,-20.9203
125,-21.0615
126,-21.2021
127,-21.3779
128,-21.5383
129,-21.7087
130,-21.8665
131,-22.0254
132,-22.1653
133,-22.2771
134,-22.4097
135,-22.5489
136,-22.6957
137,-22.8434
138,-23.0024
139,-23.1691
140,-23.3136
141,-23.4543
142,-23.611
143,-23.7538
144,-23.9039
145,-24.0451
146,-24.1991
147,-24.3415
148,-24.4815
149,-24.6065
150,-24.7404
151,-24.9217
152,-25.0951
153,-25.2277
154,-25.3822
155,-25.5518
156,-25.6777
157,-25.7983
158,-25.9584
159,-26.1371
160,-26.2825
161,-26.4462
162,-26.5819
163,-26.7129
164,-26.8531
165,-26.9946
166,-27.1356
167,-27.2887
168,-27.4533
169,-27.5848
170,-27.73
171,-27.8737
172,-28.0071
173,-28.1427
174,-28.3011
175,-28.4448
176,-28.5962
177,-28.7523
178,-28.9018
179,-29.0614
180,-29.205
181,-29.3539
182,-29.5081
183,-29.655
184,-29.8032
185,-29.9434
186,-30.0771
187,-30.212
188,-30.341
189,-30.4746
190,-30.625
191,-30.7835
192,-30.941
193,-31.0752
194,-31.2314
195,-31.3604
196,-31.4882
197,-31.624
198,-31.775
199,-31.9269
200,-32.0877
201,-32.2014
202,-32.3306
203,-32.4824
204,-32.6182
205,-32.7637
206,-32.9023
207,-33.0416
208,-33.1871
209,-33.3181
210,-33.4699
211,-33.6242
212,-33.768
213,-33.9095
214,-34.0542
215,-34.1923
216,-34.3298
217,-34.4694
218,-34.6068
219,-34.74
220,-34.8673
221,-35.0079
222,-35.1434
223,-35.2842
224,-35.4275
225,-35.5671
226,-35.7065
227,-35.8482
228,-35.994
229,-36.1225
230,-36.2659
231,-36.4133
232,-36.5772
233,-36.7104
234,-36.8506
235,-37.0044
236,-37.1383
237,-37.2795
238,-37.4084
239,-37.5179
240,-37.6626
241,-37.8178
242,-37.9569
243,-38.0891
244,-38.2311
245,-38.3749
246,-38.5324
247,-38.6804
248,-38.8047
249,-38.9694
250,-39.1188
251,-39.2585
252,-39.402
253,-39.5318
254,-39.6523
255,-39.7887
256,-39.9166
257,-40.0454
258,-40.2097
259,-40.3793
260,-40.5215
261,-40.6553
262,-40.7945
263,-40.93
264,-41.0713
265,-41.1916
266,-41.3125
267,-41.4391
268,-41.5896
269,-41.7211
