run_index,seed,rt60,c50,runtime_ms,t30_raw,t20,curvature,nonlinearity
0,1,0.343723,7.3423,3399.41,0.343723,0.33002,4.15217,2.43476
1,2,0.324443,6.76944,3424.04,0.324443,0.306577,5.82748,3.10015
2,3,0.400894,7.32568,3409.05,0.400894,0.350299,14.4435,15.0538
3,4,0.33224,7.50583,3413.36,0.33224,0.327726,1.37722,1.30535
4,5,0.345965,7.45568,3447.84,0.345965,0.318567,8.60034,5.83534
5,6,0.3501,7.70708,3429.37,0.3501,0.340601,2.78876,2.81481
6,7,0.333111,6.79549,3432,0.333111,0.337899,-1.41676,1.29997
7,8,0.333741,7.41121,3447.87,0.333741,0.340889,-2.0967,2.44553
8,9,0.341619,6.76096,3448.14,0.341619,0.31869,7.19468,5.3015
9,10,0.310969,7.6528,3462.35,0.310969,0.324436,-4.15091,1.84245
10,11,0.353461,6.58537,3474.02,0.353461,0.338609,4.38634,2.94136
11,12,0.321335,6.72251,3462.76,0.321335,0.300076,7.08445,2.77128
12,13,0.342133,7.11872,3462.67,0.342133,0.319193,7.18695,6.23634
13,14,0.345637,7.30409,3472.66,0.345637,0.317265,8.94265,4.46709
14,15,0.324398,6.67493,3471.66,0.324398,0.316845,2.38399,4.05237
15,16,0.330834,7.47519,3478.2,0.330834,0.340285,-2.77724,10.5758
16,17,0.339219,7.22775,3525.12,0.339219,0.325994,4.05658,1.67279
17,18,0.352238,7.41433,3487,0.352238,0.374537,-5.95379,7.48447
18,19,0.352276,6.91127,3490.06,0.352276,0.337038,4.52115,2.64372
19,20,0.354571,6.49799,3484.91,0.354571,0.310197,14.305,14.4498
20,21,0.36138,7.31398,3484.39,0.36138,0.327746,10.2621,8.43471
21,22,0.335432,7.22584,3504.07,0.335432,0.317833,5.53734,2.44081
22,23,0.322278,7.30139,3489.21,0.322278,0.316371,1.86726,1.14755
23,24,0.331502,6.80843,3487.5,0.331502,0.325437,1.8635,1.43896
24,25,0.331964,6.83334,3496.02,0.331964,0.331124,0.253679,2.04546
25,26,0.345194,6.90405,3505.38,0.345194,0.348936,-1.07242,1.34943
26,27,0.339204,7.33899,3520.07,0.339204,0.343607,-1.28143,1.51633
27,28,0.333908,7.50499,3491.42,0.333908,0.340676,-1.98644,3.23595
28,29,0.326495,6.3842,3485.91,0.326495,0.321494,1.55555,1.38711
29,30,0.43487,6.91879,3515.11,0.43487,0.378483,14.8981,24.7217
30,31,0.336604,6.86547,3523.56,0.336604,0.332982,1.08755,1.92891
31,32,0.341845,7.36647,3513.16,0.341845,0.318548,7.31345,4.2351
32,33,0.345157,7.03381,3520.33,0.345157,0.319515,8.02534,2.94849
33,34,0.337613,6.63764,3514.65,0.337613,0.344623,-2.03394,4.4501
34,35,0.346841,6.84855,3521.97,0.346841,0.326569,6.20757,2.6272
35,36,0.354347,7.241,3516.41,0.354347,0.346851,2.16114,2.73227
36,37,0.312086,6.17142,3510.67,0.312086,0.31011,0.637274,1.32083
37,38,0.329956,7.41149,3518.08,0.329956,0.328594,0.414547,2.22251
38,39,0.333063,6.77627,3524.78,0.333063,0.332998,0.0195687,2.2376
39,40,0.335577,6.6527,3550.71,0.335577,0.315495,6.36497,3.51348
40,41,0.326994,7.16646,3523.75,0.326994,0.3445,-5.0814,2.85055
41,42,0.34399,7.42498,3518.09,0.34399,0.336438,2.24463,1.39145
42,43,0.31996,7.20325,3515.19,0.31996,0.319532,0.134018,2.25215
43,44,0.332852,6.18024,3518.62,0.332852,0.343078,-2.98068,4.75361
44,45,0.320727,7.42881,3513.29,0.320727,0.331797,-3.33649,2.24218
45,46,0.348447,7.40135,3512.95,0.348447,0.335995,3.7061,4.43824
46,47,0.343298,6.73667,3540.05,0.343298,0.313043,9.6648,7.071
47,48,0.337394,6.86906,3534.69,0.337394,0.331236,1.85897,3.78692
48,49,0.337855,6.83304,3548.12,0.337855,0.329324,2.59021,1.96029
49,50,0.331246,7.33627,3530.72,0.331246,0.323409,2.42323,1.04789
50,51,0.349175,6.78078,3522.81,0.349175,0.323423,7.96237,3.14581
51,52,0.350419,7.05062,3534.39,0.350419,0.341729,2.54307,5.01834
52,53,0.313319,7.22621,3524.29,0.313319,0.309511,1.23055,1.79952
53,54,0.335664,7.25222,3525.05,0.335664,0.338112,-0.723882,2.22044
54,55,0.330095,7.51777,3521.51,0.330095,0.321337,2.72545,1.61529
55,56,0.319548,7.20955,3526.3,0.319548,0.33042,-3.29048,2.03109
56,57,0.409773,7.25882,3524.48,0.409773,0.379813,7.88812,9.42241
57,58,0.345816,7.02725,3527.03,0.345816,0.358179,-3.45176,3.73685
58,59,0.312135,6.8115,3519.35,0.312135,0.318834,-2.1011,1.51054
59,60,0.323888,7.40851,3517.82,0.323888,0.325956,-0.634614,2.54141
60,61,0.349509,6.63525,3514.68,0.349509,0.324247,7.79093,5.24154
61,62,0.334922,7.23249,3534.44,0.334922,0.327796,2.17394,1.90126
62,63,0.346127,7.27631,3520.44,0.346127,0.329747,4.96737,2.39727
