num_particles,avg_rt60,avg_c50,avg_runtime_ms,valid_rt60_runs
1000,0.3156679582,5.57264319,3.3693751,10
2000,0.3630707511,7.705272549,5.0809751,10
5000,0.3344736346,6.39345637,10.4380876,10
10000,0.3586725283,7.075063843,20.6870917,10
20000,0.3302908299,6.889019452,41.3188833,10
50000,0.3295732372,7.083407734,103.4422168,10
100000,0.3378109935,7.297259027,207.3635336,10
200000,0.3342014633,6.993352837,414.895075,10
500000,0.3342809078,7.01962901,1047.608858,10
1000000,0.3356975826,7.052845646,2124.011063,10
