run_index,seed,rt60,c50,runtime_ms
0,1,0.339855,7.30431,6792.19
1,2,0.327982,6.95413,6765.81
2,3,0.352422,7.01478,6774.66
3,4,0.339969,7.57184,6752.55
4,5,0.329238,7.1686,6769.86
5,6,0.334426,6.5731,6753.93
6,7,0.332584,6.93692,6771.01
7,8,0.321004,6.46968,6762.74
8,9,0.325804,6.97769,6759.32
9,10,0.33873,6.96249,6758.5
10,11,0.330497,6.87196,6770.98
11,12,0.331614,6.76525,6771.33
12,13,0.328055,6.54285,6790.77
13,14,0.348188,7.98625,6776.41
14,15,0.326708,7.03969,6786.7
15,16,0.329546,7.10605,6776.9
16,17,0.368658,7.16804,6757.6
