run_index,seed,rt60,c50,runtime_ms,t30_raw,t20,curvature,nonlinearity
0,1,0.352544,7.32451,13329.1,0.352544,0.343188,2.72618,3.73478
1,2,0.318506,6.91557,13432.6,0.318506,0.318163,0.107735,0.895655
2,3,0.31741,6.96157,13538.4,0.31741,0.348498,-8.92062,8.0103
3,4,0.371029,7.71824,13675.9,0.371029,0.322994,14.8717,10.0146
4,5,0.334231,7.1072,13732.7,0.334231,0.340246,-1.76767,1.49119
5,6,0.333098,6.58878,13788,0.333098,0.310235,7.36938,5.48346
6,7,0.339088,7.14306,13864.6,0.339088,0.344142,-1.46864,4.07088
7,8,0.309818,7.40356,13914.4,0.309818,0.316477,-2.10423,1.04872
8,9,0.339825,6.68932,13929.9,0.339825,0.327159,3.87165,2.02356
9,10,0.354826,7.2036,13957.1,0.354826,0.339802,4.42129,3.98564
10,11,0.336943,7.5309,13989.2,0.336943,0.344755,-2.26598,2.08573
11,12,0.331647,7.11751,14028,0.331647,0.326871,1.46117,1.30689
12,13,0.322748,7.38327,14053.9,0.322748,0.338488,-4.65002,3.25158
13,14,0.339698,6.8491,14060.9,0.339698,0.358255,-5.17975,3.19703
14,15,0.336882,7.33449,14036.4,0.336882,0.329588,2.21314,1.65295
15,16,0.328377,7.58864,14079.6,0.328377,0.321182,2.23999,1.87927
16,17,0.326245,6.96348,14130.2,0.326245,0.334439,-2.45014,1.09116
17,18,0.34387,7.23696,14123.5,0.34387,0.325299,5.70878,3.73705
18,19,0.339324,7.07284,14156.6,0.339324,0.336535,0.828722,2.01757
19,20,0.328523,6.8528,14113.4,0.328523,0.330302,-0.538615,2.73212
20,21,0.331983,6.77362,14164,0.331983,0.341135,-2.68282,4.26396
21,22,0.321243,6.81125,14160.4,0.321243,0.317888,1.05558,1.61256
22,23,0.343835,7.29243,14338.8,0.343835,0.334243,2.86989,3.66795
23,24,0.327643,7.29761,14549.3,0.327643,0.330823,-0.961345,1.06149
24,25,0.322166,6.10282,14636.8,0.322166,0.32701,-1.48144,7.33582
25,26,0.336524,6.5787,14709.8,0.336524,0.351276,-4.19975,5.89073
26,27,0.342152,7.24352,14725.9,0.342152,0.331604,3.18085,2.54395
27,28,0.330364,6.60599,14745.6,0.330364,0.33213,-0.531604,2.25724
28,29,0.33079,7.33696,14663.1,0.33079,0.322185,2.67074,1.6569
29,30,0.321089,6.54748,14687.7,0.321089,0.325261,-1.28246,2.16903
30,31,0.335367,7.52104,14694.1,0.335367,0.314225,6.7282,2.52213
31,32,0.335655,7.65792,14685.7,0.335655,0.353069,-4.93204,2.99862
32,33,0.325479,7.31271,14630.9,0.325479,0.327916,-0.743023,0.727407
33,34,0.337148,7.10073,14663.1,0.337148,0.342164,-1.46598,2.07446
34,35,0.339425,6.90102,14706.1,0.339425,0.32177,5.48666,2.25074
35,36,0.333907,7.26313,14667,0.333907,0.342096,-2.3939,1.60023
36,37,0.31354,6.78175,14644.9,0.31354,0.327038,-4.12741,2.13383
37,38,0.326643,6.62183,14728.9,0.326643,0.319551,2.21931,1.76445
38,39,0.403134,6.80139,14789.3,0.403134,0.354515,13.7143,17.0586
39,40,0.346544,6.57182,14785.2,0.346544,0.327846,5.70332,3.89573
40,41,0.331102,6.88663,14674.9,0.331102,0.323492,2.35228,2.70563
41,42,0.352489,7.37336,14749.3,0.352489,0.352408,0.0229539,1.84932
42,43,0.332712,6.93757,14738.5,0.332712,0.311727,6.73204,3.84193
43,44,0.328031,6.66637,14667.9,0.328031,0.313045,4.78745,1.77001
44,45,0.350466,6.66728,14692.6,0.350466,0.32203,8.83009,6.65803
45,46,0.353176,6.88315,14699.8,0.353176,0.363768,-2.91187,5.06592
46,47,0.347211,6.96029,14710.9,0.347211,0.343702,1.02099,4.16627
47,48,0.325631,7.25177,14594.2,0.325631,0.334501,-2.6519,2.40089
48,49,0.320078,6.78417,14455.5,0.320078,0.316583,1.10409,1.02014
49,50,0.338143,6.63693,14441,0.338143,0.324164,4.31216,2.60176
50,51,0.315362,6.83622,14399.1,0.315362,0.322433,-2.19318,1.26509
51,52,0.325367,6.95195,14362.7,0.325367,0.327624,-0.689086,4.12032
52,53,0.343345,7.34059,14408.1,0.343345,0.334935,2.51105,2.03242
53,54,0.343564,7.11391,14318,0.343564,0.340086,1.02255,2.29115
54,55,0.340694,7.17875,14284.9,0.340694,0.313367,8.72061,4.78954
55,56,0.327502,7.33194,14357.3,0.327502,0.321228,1.95328,2.52858
56,57,0.319269,6.7338,14260,0.319269,0.312964,2.0146,2.02121
57,58,0.332055,7.5047,14262.6,0.332055,0.334883,-0.844362,0.805598
58,59,0.375437,6.87793,14194.8,0.375437,0.32922,14.0381,15.0646
59,60,0.373348,6.71688,14189.9,0.373348,0.338956,10.1466,5.35083
60,61,0.338081,7.37658,14172.9,0.338081,0.340507,-0.712336,3.55857
61,62,0.330958,7.42416,14185.3,0.330958,0.324526,1.98197,0.842403
62,63,0.345977,7.487,14227.5,0.345977,0.326902,5.83508,3.3498
63,64,0.336536,7.42386,14198.1,0.336536,0.340761,-1.23974,1.75295
64,65,0.339438,7.14299,14184.7,0.339438,0.330223,2.79058,2.00257
65,66,0.319607,7.1231,14192.4,0.319607,0.325455,-1.79677,1.48843
66,67,0.332904,7.04518,14232.8,0.332904,0.32409,2.71943,2.78381
67,68,0.386027,6.95759,14266.4,0.386027,0.343906,12.248,8.30663
