time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,3509.87,3509.52,3508.64,3507.21,3505.14,3499.47,3478.19,3399.24,27917.3
4,1676.01,1675.81,1649.11,1635.01,1600.07,1548.49,1502.05,1461.33,12747.9
5,1411.61,1411.4,1342.17,1306.58,1217.34,1088.79,988.576,955.901,9722.37
6,178.721,178.691,169.645,165.003,153.433,136.882,123.937,119.075,1225.39
7,93.8398,93.8212,88.8775,86.3407,80.0446,71.0701,64.0239,61.1194,639.137
8,50.3973,50.3859,47.2073,45.5897,41.6083,36.0314,31.7626,30.1326,333.115
9,24.1988,24.1927,22.704,21.9434,20.0718,17.4382,15.392,14.5126,160.454
10,281.621,281.54,271.89,266.734,253.876,234.573,217.115,203.012,2010.36
11,1186,1185.64,1128.16,1098.67,1027.25,926.856,843.542,784.831,8180.95
12,927.573,927.265,853.677,817.398,731.92,620.246,538.62,498.543,5915.24
13,579.918,579.711,547.119,530.604,491.146,436.836,392.521,361.084,3918.94
14,252.84,252.743,234.002,224.68,202.672,173.435,151.15,138.167,1629.69
15,258.894,258.786,237.464,226.87,201.854,168.758,143.967,130.693,1627.29
16,508.991,508.767,457.84,433.104,375.862,303.141,251.511,227.001,3066.22
17,661.43,661.122,603.057,574.229,506.347,416.753,349.776,313.84,4086.55
18,320.905,320.747,291.175,276.591,242.508,198.066,165.17,147.349,1962.51
19,271.682,271.541,243.423,229.653,197.688,156.784,127.514,113.003,1611.29
20,538.201,537.906,477.654,448.301,380.557,295.13,235.449,207.32,3120.52
21,439.458,439.207,387.078,361.91,304.372,233.031,184.075,161.254,2510.38
22,271.001,270.838,236.354,219.839,182.397,136.699,105.979,92.2313,1515.34
23,341.733,341.518,292.454,269.293,217.546,156.407,117.207,101.371,1837.53
24,380.616,380.368,328.258,303.649,248.787,183.725,141.052,121.274,2087.73
25,265.098,264.919,228.039,210.637,171.909,126.067,96.0461,82.0953,1444.81
26,264.471,264.283,226.528,208.833,169.816,124.369,94.9491,80.5986,1433.85
27,352.357,352.1,302.034,278.657,227.401,168.074,129.527,109.396,1919.55
28,212.94,212.778,179.094,163.502,129.538,90.8963,66.7493,56.0249,1111.52
29,238.398,238.211,197.802,179.281,139.352,94.89,67.9192,56.6457,1212.5
30,236.495,236.303,198.279,180.717,142.639,99.5538,72.6375,60.2565,1226.88
31,184.724,184.569,152.386,137.705,106.27,71.6185,50.756,41.822,929.851
32,263.38,263.153,216.443,195.07,149.203,98.61,68.4175,56.0721,1310.35
33,203.261,203.079,166.071,149.317,113.781,75.2625,52.4886,42.7435,1006
34,243.014,242.79,197.719,177.405,134.557,88.5272,61.5015,49.7931,1195.31
35,217.401,217.195,179.049,161.77,125.226,85.4543,61.2927,49.3311,1096.72
36,237.357,237.127,193.685,174.069,132.671,87.8611,61.1097,48.875,1172.75
