time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,111.967,111.882,111.663,111.312,110.806,109.425,104.403,87.6773,859.136
29,36.6324,36.6035,35.9819,34.2326,31.9222,29.417,28.0087,23.3435,256.142
30,32.2733,32.2473,31.5883,29.7174,27.2501,24.6283,23.4242,19.4466,220.576
31,2.47158,2.46951,2.4002,2.20413,1.953,1.70059,1.61429,1.33065,16.144
32,2.51697,2.51479,2.45125,2.27311,2.04617,1.81634,1.72108,1.40943,16.7491
33,0.954456,0.953612,0.945458,0.923725,0.893682,0.854908,0.809276,0.660364,6.99548
34,2.49076,2.48846,2.4221,2.23701,2.00319,1.7685,1.67019,1.35131,16.4315
35,2.40273,2.40046,2.32367,2.10825,1.83667,1.56905,1.4796,1.19058,15.311
36,0.948993,0.948081,0.939058,0.914966,0.881774,0.839362,0.790825,0.634349,6.89741
37,0,0,0,0,0,0,0,0,0
38,0.929794,0.928849,0.91732,0.885884,0.843056,0.791279,0.742935,0.588467,6.62759
39,0.94054,0.939546,0.929242,0.901629,0.863781,0.816221,0.764448,0.600072,6.75548
40,0.737004,0.736214,0.704206,0.615588,0.507816,0.40747,0.381258,0.298241,4.3878
41,0.745757,0.744931,0.713644,0.626956,0.520962,0.421292,0.393365,0.305388,4.4723
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0.910716,0.909531,0.89506,0.85585,0.80305,0.740252,0.682966,0.507903,6.30533
49,0.847401,0.84628,0.824623,0.764651,0.686774,0.603728,0.556274,0.411739,5.54147
50,0.880671,0.879483,0.861438,0.811902,0.746342,0.672617,0.618772,0.455421,5.92665
51,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
