time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,534.963,534.869,534.624,534.232,533.664,532.104,526.279,504.948,4235.68
7,15.9988,15.9958,15.9881,15.9756,15.9576,15.908,15.7232,15.0473,126.594
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,263.397,228.232,157.305,148.811,148.565,147.89,145.382,120.306,1359.89
11,42.3588,32.1378,14.1623,13.3395,13.3149,13.2477,12.9978,10.5855,152.144
12,101.979,96.5256,86.1438,84.1113,80.4686,74.9375,69.636,63.2768,657.078
13,135.933,131.567,122.075,119.599,114.406,106.48,98.7696,90.055,918.885
14,131.022,121.609,106.769,103.715,99.1933,92.2785,85.4505,76.1521,816.189
15,175.994,149.194,111.996,104.465,99.4124,91.7502,84.3444,68.7883,885.944
16,123.132,96.861,54.4752,49.5087,47.0405,43.3025,39.6646,30.1489,484.133
17,144.096,129.474,103.138,97.2544,87.6265,74.3421,63.7916,54.5699,754.293
18,152.839,135.919,98.9072,93.8861,83.6456,69.6645,58.7896,51.3814,745.032
19,128.696,106.355,70.3545,62.1241,55.084,45.5393,38.1661,28.5106,534.829
20,135.97,109.445,70.6178,63.4002,56.5131,47.0891,39.653,30.6799,553.368
21,70.4458,50.3209,21.4667,19.9011,18.0042,15.3593,13.1717,10.7627,219.432
22,113.1,89.2434,51.6578,48.0655,43.6127,37.3582,32.0836,26.1513,441.273
23,83.2289,59.3443,26.9032,23.8601,21.4636,18.1434,15.3998,11.2325,259.576
24,97.2767,75.3967,43.3517,39.7291,34.2075,27.0497,21.7751,17.4557,356.242
25,94.7544,74.422,38.6423,35.7614,30.0759,22.8873,17.8297,14.8527,329.226
26,106.608,86.5828,58.9708,52.818,46.1948,37.4692,30.7411,23.6496,443.034
27,74.138,50.8245,19.1193,16.3824,14.318,11.6101,9.51406,6.41081,202.317
28,62.6279,40.4805,10.727,9.61156,8.32953,6.66849,5.40631,4.02702,147.878
29,65.531,45.5514,19.5314,17.8178,14.9104,11.2803,8.71766,6.92008,190.26
30,84.6373,56.4158,25.0683,21.7367,17.6902,12.7823,9.49248,6.88085,234.704
31,49.438,31.0605,9.74053,8.28685,6.76074,4.9199,3.68175,2.56345,116.452
32,40.4599,25.3923,7.28306,6.46698,5.46872,4.20218,3.27435,2.40169,94.9492
33,39.5235,22.9398,5.37135,4.67531,3.7654,2.6959,1.99281,1.43865,82.4028
34,57.5598,37.6926,14.4939,13.153,10.8441,8.04021,6.09681,4.72082,152.601
35,73.2559,55.9017,36.783,33.6762,29.6364,24.2496,19.81,15.079,288.392
36,56.0095,39.9075,23.7107,21.1035,17.5543,13.1558,10.0107,7.2374,188.69
