time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,71.9942,71.9793,71.9407,71.8788,71.7892,71.5432,70.626,67.2837,569.035
8,0,0,0,0,0,0,0,0,0
9,18.2715,17.8531,16.1214,15.6529,14.4881,12.8107,11.4629,10.8225,117.483
10,47.701,46.4986,44.3287,43.898,43.0549,44.3832,42.9012,40.2731,353.039
11,6.56071,6.10917,5.06245,4.89335,4.78698,4.79436,4.61144,4.09053,40.909
12,20.7866,19.7642,17.2414,16.778,15.8121,15.0964,13.8261,12.6757,131.98
13,56.9456,53.9552,55.1396,54.4897,53.276,53.4056,51.1231,46.866,425.201
14,18.2831,17.4075,16.4384,16.0756,15.4253,16.3121,15.3183,13.9291,129.189
15,52.2611,49.6624,44.8111,42.4203,41.0397,42.5239,40.2042,33.6841,346.607
16,11.2859,9.37749,8.26811,7.8346,7.48933,7.46197,6.95369,5.82803,64.4992
17,40.6055,39.1884,38.6891,37.1783,35.1965,35.1016,32.2887,27.896,286.144
18,20.1187,18.9287,17.0849,16.3926,15.3347,16.8719,15.3625,13.4453,133.539
19,42.9972,40.4745,41.1808,41.5412,40.9174,42.0945,40.2565,34.9856,324.448
20,34.5,33.1358,30.8711,29.8536,28.4724,30.1325,27.8906,23.3101,238.166
21,36.8885,33.6762,30.5622,29.4734,28.0106,28.4198,26.0692,21.3926,234.493
22,22.294,20.9226,20.4556,19.1199,18.1299,18.8658,17.2987,13.7947,150.881
23,31.5959,29.9815,26.2735,24.4971,22.7301,24.4337,21.8627,17.2844,198.659
24,18.907,16.9298,14.9798,13.7252,12.8151,13.1465,11.8295,8.96881,111.302
25,29.8189,28.9048,27.5036,25.7437,24.2278,24.5433,22.21,16.6105,199.563
26,19.0415,17.3915,14.8206,13.8865,12.9857,13.3634,11.9974,9.08407,112.571
27,36.4376,34.7158,30.9129,28.8159,26.7614,29.3164,26.1704,19.9464,233.077
28,28.7314,27.0321,24.4396,22.9841,21.5722,22.5839,20.2561,15.371,182.97
29,26.7873,25.5448,23.1166,22.0556,20.419,21.799,19.3012,14.9286,173.952
30,15.8534,14.415,11.365,10.3374,9.27321,9.88629,8.45721,6.20037,85.7879
31,21.111,19.7273,16.9422,15.175,13.7929,15.1904,13.1621,9.23898,124.34
32,21.1859,19.7105,16.1532,14.2219,13.0991,14.5036,12.7355,8.56229,120.172
33,18.7975,17.2006,14.4604,12.8968,11.9146,12.7254,11.1778,7.58591,106.759
34,12.2535,10.9392,9.13294,8.15597,7.53343,8.35608,7.34463,4.74292,68.4587
35,20.1233,19.0518,16.8447,15.4993,14.13,15.4199,13.3077,9.60308,123.98
36,14.3615,13.1553,10.5683,9.2003,8.13452,8.75691,7.30424,4.83122,76.3123
