time_ms,band0,band1,band2,band3,band4,band5,band6,band7,total
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,247.972,247.899,247.712,247.411,246.976,245.782,241.35,225.424,1950.53
11,1173.86,1173.51,1172.6,1171.14,1169.02,1163.23,1141.7,1064.46,9229.51
12,0,0,0,0,0,0,0,0,0
13,713.725,713.466,712.796,711.721,710.167,705.909,690.143,634.161,5592.09
14,1227.6,1227.12,1225.88,1223.9,1221.03,1213.17,1184.1,1081.33,9604.13
15,373.154,372.999,372.597,371.953,371.021,368.472,359.054,325.904,2915.15
16,1505.06,1504.4,1502.69,1499.94,1495.98,1485.13,1445.09,1304.68,11743
17,347.81,347.647,347.226,346.551,345.575,342.905,333.065,298.723,2709.5
18,1365.36,1364.69,1362.94,1360.14,1356.08,1345,1304.21,1162.46,10620.9
19,701.557,701.194,700.255,698.747,696.57,690.619,668.733,592.969,5450.64
20,1166.59,1165.95,1164.3,1161.66,1157.84,1147.4,1109.06,976.972,9049.76
21,654.641,654.265,653.293,651.733,649.481,643.329,620.764,543.363,5070.87
22,642.204,641.821,640.83,639.241,636.947,630.68,607.719,529.243,4968.69
23,534.391,534.056,533.189,531.799,529.792,524.313,504.265,436.088,4127.89
24,604.585,604.19,603.167,601.527,599.161,592.702,569.095,489.164,4663.59
25,477.702,477.378,476.539,475.194,473.253,467.957,448.624,383.425,3680.07
26,409.407,409.118,408.372,407.176,405.45,400.743,383.579,325.933,3149.78
27,437.744,437.423,436.595,435.267,433.351,428.128,409.104,345.492,3363.11
28,376.005,375.719,374.98,373.793,372.083,367.42,350.461,294.019,2884.48
29,330.465,330.206,329.535,328.46,326.908,322.682,307.327,256.42,2532
30,304.049,303.803,303.164,302.141,300.665,296.646,282.06,233.913,2326.44
31,394.482,394.151,393.295,391.924,389.945,384.56,365.04,300.885,3014.28
32,323.656,323.376,322.651,321.49,319.815,315.258,298.759,244.766,2469.77
33,334.944,334.645,333.871,332.631,330.844,325.981,308.397,251.105,2552.42
34,261.368,261.128,260.506,259.511,258.076,254.174,240.081,194.351,1989.2
35,232.607,232.387,231.819,230.908,229.596,226.028,213.157,171.562,1768.07
36,189.856,189.671,189.194,188.429,187.327,184.333,173.542,138.824,1441.18
37,152.695,152.542,152.148,151.517,150.607,148.137,139.244,110.747,1157.64
38,204.878,204.667,204.124,203.253,201.999,198.593,186.35,147.289,1551.15
39,205.115,204.9,204.342,203.448,202.161,198.667,186.12,146.256,1551.01
40,224.649,224.407,223.78,222.776,221.331,217.409,203.342,158.837,1696.53
41,215.819,215.581,214.964,213.977,212.555,208.696,194.877,151.334,1627.8
